epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,4668.35,0.72175,0.32009,0.96136,0.97145,0.97435,0.98315,0.76999,0.90582,0.31619,1.00204,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,4740.46,0.71502,0.31589,0.9562,0.97236,0.97472,0.98459,0.76776,0.90514,0.31717,1.00141,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,4811.88,0.7109,0.31385,0.95325,0.97196,0.97411,0.98315,0.7721,0.90366,0.31742,1.00196,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,4896.55,0.63961,0.25061,0.93343,0.9697,0.97652,0.98146,0.77023,0.90621,0.31893,1.00365,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,4968.31,0.6293,0.24726,0.92861,0.97011,0.97719,0.98248,0.76959,0.90599,0.3188,1.00395,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,5039.71,0.62369,0.24533,0.92692,0.97042,0.9774,0.98264,0.77104,0.90822,0.31912,1.00526,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,5113.26,0.61791,0.24217,0.92256,0.97,0.97823,0.98305,0.77092,0.90828,0.31874,1.00651,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,5185.95,0.61409,0.24121,0.92002,0.97021,0.97725,0.98293,0.77053,0.90985,0.3191,1.00811,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,5256.95,0.60604,0.23803,0.91912,0.97165,0.97793,0.9842,0.77247,0.91197,0.31984,1.00967,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,5330.69,0.60143,0.23656,0.91608,0.97231,0.97777,0.98321,0.77096,0.91401,0.31928,1.01101,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,5403.8,0.59876,0.23533,0.91329,0.97111,0.97805,0.98348,0.77147,0.91528,0.31872,1.01163,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,5476.79,0.59572,0.23401,0.91409,0.97121,0.97826,0.98395,0.77187,0.91468,0.31831,1.01164,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,5546.38,0.59032,0.232,0.91134,0.97009,0.97733,0.98424,0.77252,0.9151,0.31794,1.01208,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
